1 GOVERNORS ISLAND,1900
1 LIBERTY ISLAND,1900
1 ELLIS ISLAND,1900
        MARGINAL STREET,1900
        MARGINAL STREET,1900
        MARGINAL STREET,1900
1 PIER 6,1987
        BATTERY PARK,1951
1 SOUTH STREET,1960
1 WATER STREET,1969
115 BROAD STREET,1969
125 BROAD STREET,1970
30 WATER STREET,1900
28 WATER STREET,1920
26 WATER STREET,1900
24 WATER STREET,1900
105 BROAD STREET,1935
101 BROAD STREET,1900
99 BROAD STREET,1900
58 PEARL STREET,1900
60 PEARL STREET,1900
1 COENTIES SLIP,1920
32 WATER STREET,1920
32 PEARL STREET,1950
6 WATER STREET,1930
39 WHITEHALL STREET,1985
34 WHITEHALL STREET,1970
7 STATE STREET,1954
17 STATE STREET,1987
24 WHITEHALL STREET,1971
100 BROAD STREET,1963
33 WHITEHALL STREET,1986
27 WHITEHALL STREET,1921
90 BROAD STREET,1930
25 BRIDGE STREET,1910
1 WHITEHALL STREET,1962
6 STONE STREET,1910
8 STONE STREET,2007
2 BROADWAY,1958
16 BEAVER STREET,1920
18 BEAVER STREET,1920
20 BEAVER STREET,1900
22 BEAVER STREET,1900
24 BEAVER STREET,1920
26 BEAVER STREET,1909
70 BROAD STREET,1908
74 BROAD STREET,1930
80 BROAD STREET,1935
88 BROAD STREET,1910
11 STONE STREET,1920
15 STONE STREET,1900
2 WHITEHALL STREET,1907
1 BROADWAY,1900
11 BROADWAY,1900
25 BROADWAY,1921
21 WEST STREET,1931
17 BATTERY PLACE,1902
20 WEST STREET,1930
22 BATTERY PLACE,1910
        JOE DIMAGGIO HIGHWAY,1989
18 1 PLACE,1997
50 BATTERY PLACE,1998
70 BATTERY PLACE,1998
55 BATTERY PLACE,2008
345 SOUTH END AVENUE,1983
200 LIBERTY STREET,1986
225 LIBERTY STREET,1987
200 VESEY STREET,1986
250 VESEY PLACE,1986
20 RIVER TERRACE,2002
211 NORTH END AVENUE,2004
22 RIVER TERRACE,2000
325 NORTH END AVENUE,2004
400 CHAMBERS STREET,1998
455 NORTH END AVENUE,1998
399 CHAMBERS STREET,1998
345 CHAMBERS STREET,1989
450 NORTH END AVENUE,1997
201 WARREN STREET,1998
1 NORTH END AVENUE,1997
200 WEST STREET,2006
377 RECTOR PLACE,1985
